Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Sex,JobLevel,JobRole,MaritalStatus,MonthlyIncome,Over18,OverTime,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,Travel_Rarely,Research & Development,5,2,Life Sciences,Male,2,Laboratory Technician,Single,5914,Y,No,16,3,13,11,3,7
33,Travel_Rarely,Research & Development,4,4,Medical,Female,1,Research Scientist,Married,2622,Y,No,7,3,3,2,1,1
37,Travel_Frequently,Research & Development,11,3,Other,Male,3,Research Director,Divorced,12185,Y,Yes,10,1,10,8,0,7
38,Travel_Rarely,Sales,3,3,Life Sciences,Male,3,Sales Executive,Divorced,10609,Y,No,17,6,16,10,5,13
31,Non-Travel,Research & Development,1,4,Medical,Male,2,Manufacturing Director,Married,4345,Y,No,6,2,5,4,1,4
59,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,1,Research Scientist,Married,2177,Y,No,7,6,1,0,0,0
37,Travel_Frequently,Sales,4,4,Marketing,Male,1,Sales Representative,Divorced,2793,Y,No,13,2,9,8,5,8
29,Travel_Frequently,Sales,1,1,Medical,Female,3,Sales Executive,Married,7918,Y,No,11,5,11,10,4,1
35,Travel_Frequently,Sales,1,3,Marketing,Female,3,Sales Executive,Single,8789,Y,No,10,3,10,7,0,8
29,Travel_Rarely,Research & Development,18,1,Medical,Male,1,Research Scientist,Single,2389,Y,Yes,4,3,4,3,0,1
52,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,1,Laboratory Technician,Single,3212,Y,No,6,3,2,2,2,2
42,Travel_Rarely,Research & Development,4,2,Technical Degree,Male,5,Manager,Married,19232,Y,No,22,3,22,17,11,15
59,Travel_Rarely,Human Resources,6,2,Medical,Male,1,Human Resources,Married,2267,Y,No,7,2,2,2,2,2
50,Travel_Rarely,Sales,1,4,Medical,Female,5,Manager,Divorced,19517,Y,No,32,3,7,0,0,6
33,Travel_Rarely,Research & Development,14,3,Medical,Male,1,Laboratory Technician,Married,2436,Y,Yes,8,2,5,4,0,4
43,Travel_Rarely,Sales,16,3,Marketing,Female,4,Manager,Married,16064,Y,Yes,22,3,17,13,1,9
33,Travel_Rarely,Research & Development,2,2,Life Sciences,Female,1,Laboratory Technician,Married,2707,Y,No,13,3,9,7,1,7
52,Non-Travel,Sales,2,4,Life Sciences,Male,5,Manager,Single,19068,Y,Yes,33,2,33,7,15,12
32,Travel_Rarely,Sales,4,2,Life Sciences,Female,1,Sales Representative,Married,3931,Y,No,6,5,4,3,1,2
32,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Laboratory Technician,Single,3730,Y,Yes,4,2,3,2,1,2
39,Travel_Rarely,Research & Development,1,4,Medical,Female,1,Laboratory Technician,Divorced,2232,Y,No,7,1,3,2,1,2
32,Non-Travel,Sales,26,4,Marketing,Male,2,Sales Executive,Married,4465,Y,No,4,2,3,2,2,2
41,Travel_Rarely,Research & Development,19,2,Life Sciences,Male,2,Research Scientist,Divorced,3072,Y,No,17,2,1,0,0,0
40,Travel_Rarely,Research & Development,24,2,Technical Degree,Male,2,Research Scientist,Divorced,3319,Y,No,9,3,9,8,4,7
45,Travel_Rarely,Research & Development,1,3,Other,Male,5,Manager,Married,19202,Y,No,25,2,24,0,1,7
31,Travel_Frequently,Research & Development,3,4,Medical,Male,3,Research Director,Divorced,13675,Y,No,9,3,2,2,2,2
33,Travel_Rarely,Research & Development,5,4,Life Sciences,Female,1,Research Scientist,Married,2911,Y,No,2,2,2,2,0,2
34,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,2,Manufacturing Director,Married,5957,Y,No,13,3,11,9,5,9
37,Travel_Rarely,Research & Development,1,2,Medical,Female,1,Research Scientist,Married,3920,Y,No,17,2,3,1,0,2
45,Travel_Frequently,Research & Development,7,4,Life Sciences,Male,2,Manufacturing Director,Married,6434,Y,No,9,1,3,2,0,2
37,Travel_Frequently,Research & Development,10,3,Medical,Male,3,Manufacturing Director,Divorced,10048,Y,No,17,5,1,0,0,0
39,Travel_Frequently,Research & Development,2,4,Technical Degree,Female,3,Healthcare Representative,Single,10938,Y,No,20,1,19,6,11,8
29,Travel_Rarely,Research & Development,15,3,Life Sciences,Male,1,Research Scientist,Single,2340,Y,No,6,1,6,5,1,5
42,Travel_Rarely,Research & Development,17,2,Life Sciences,Female,2,Research Scientist,Single,6545,Y,Yes,10,1,3,2,0,2
29,Travel_Rarely,Sales,20,2,Marketing,Male,2,Sales Executive,Divorced,6931,Y,No,10,2,3,2,0,2
25,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,2,Manufacturing Director,Married,4898,Y,No,5,3,4,2,1,2
42,Travel_Rarely,Research & Development,2,3,Medical,Female,1,Laboratory Technician,Divorced,2593,Y,Yes,10,4,9,6,7,8
40,Travel_Rarely,Research & Development,2,2,Medical,Male,5,Research Director,Divorced,19436,Y,No,22,5,21,7,3,9
51,Travel_Rarely,Research & Development,1,3,Life Sciences,Male,1,Research Scientist,Married,2723,Y,No,1,0,1,0,0,0
31,Travel_Frequently,Research & Development,29,2,Medical,Male,1,Laboratory Technician,Single,3479,Y,No,6,2,5,4,1,4
32,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,1,Laboratory Technician,Married,2794,Y,No,5,3,5,1,0,3
38,Non-Travel,Sales,2,2,Life Sciences,Male,2,Sales Executive,Married,5249,Y,No,13,0,8,7,7,5
32,Travel_Rarely,Research & Development,2,1,Technical Degree,Male,2,Laboratory Technician,Single,2176,Y,No,9,5,6,2,0,4
46,Travel_Rarely,Sales,2,3,Technical Degree,Female,4,Manager,Married,16872,Y,Yes,28,2,7,7,7,7
28,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,1,Laboratory Technician,Single,3485,Y,No,5,5,0,0,0,0
29,Travel_Rarely,Sales,2,3,Medical,Male,2,Sales Executive,Married,6644,Y,No,10,2,0,0,0,0
31,Travel_Rarely,Research & Development,23,3,Medical,Male,2,Healthcare Representative,Married,5582,Y,No,10,2,9,0,7,8
25,Non-Travel,Research & Development,5,2,Life Sciences,Male,2,Healthcare Representative,Divorced,4000,Y,No,6,2,6,3,1,5
45,Travel_Rarely,Research & Development,20,2,Medical,Male,4,Healthcare Representative,Married,13496,Y,Yes,21,2,20,7,4,10
36,Travel_Rarely,Research & Development,6,3,Life Sciences,Male,1,Laboratory Technician,Married,3210,Y,No,16,4,15,13,10,11
55,Travel_Rarely,Research & Development,1,3,Medical,Male,5,Manager,Single,19045,Y,Yes,37,2,36,10,4,13
47,Non-Travel,Research & Development,29,4,Life Sciences,Male,3,Manager,Married,11849,Y,Yes,10,2,10,7,9,9
28,Travel_Rarely,Research & Development,9,3,Medical,Male,1,Research Scientist,Married,2070,Y,No,5,3,5,2,0,4
37,Travel_Rarely,Sales,6,4,Medical,Male,2,Sales Executive,Married,6502,Y,No,7,5,5,4,0,1
21,Travel_Rarely,Research & Development,3,2,Medical,Male,1,Research Scientist,Single,3230,Y,No,3,4,3,2,1,0
37,Non-Travel,Research & Development,1,4,Medical,Female,3,Research Director,Divorced,13603,Y,Yes,15,2,5,2,0,2
35,Travel_Rarely,Research & Development,22,3,Life Sciences,Female,3,Manager,Divorced,11996,Y,No,10,6,7,7,6,2
38,Travel_Rarely,Sales,7,2,Medical,Female,2,Sales Executive,Divorced,5605,Y,Yes,8,3,8,0,7,7
26,Travel_Frequently,Research & Development,1,3,Life Sciences,Female,2,Manufacturing Director,Divorced,6397,Y,No,6,6,6,5,1,4
50,Travel_Rarely,Research & Development,4,1,Life Sciences,Male,5,Research Director,Divorced,19144,Y,No,28,4,10,4,1,6
53,Travel_Rarely,Research & Development,3,4,Medical,Male,4,Research Director,Married,17584,Y,Yes,21,5,5,3,1,3
42,Travel_Rarely,Sales,1,1,Life Sciences,Male,2,Sales Executive,Married,4907,Y,No,20,3,20,16,11,6
29,Travel_Frequently,Sales,2,2,Life Sciences,Male,2,Sales Executive,Single,4554,Y,No,10,3,10,7,0,9
55,Travel_Rarely,Research & Development,20,2,Technical Degree,Male,2,Laboratory Technician,Married,5415,Y,Yes,12,4,10,7,0,8
26,Travel_Frequently,Research & Development,11,2,Medical,Male,2,Healthcare Representative,Married,4741,Y,Yes,5,3,5,3,3,3
37,Travel_Rarely,Research & Development,1,3,Life Sciences,Female,1,Research Scientist,Single,2115,Y,No,17,3,17,12,5,7
44,Travel_Frequently,Research & Development,24,3,Life Sciences,Male,1,Laboratory Technician,Divorced,3161,Y,Yes,19,0,1,0,0,0
38,Travel_Rarely,Research & Development,23,4,Life Sciences,Male,2,Healthcare Representative,Divorced,5745,Y,No,10,2,2,2,1,2
26,Travel_Rarely,Research & Development,16,4,Medical,Male,1,Laboratory Technician,Divorced,2373,Y,Yes,5,2,3,2,0,2
28,Travel_Rarely,Research & Development,8,2,Life Sciences,Female,1,Research Scientist,Single,3310,Y,No,5,3,5,3,0,2
49,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,5,Research Director,Single,18665,Y,Yes,22,4,3,2,1,2
36,Travel_Rarely,Research & Development,3,3,Technical Degree,Male,2,Research Scientist,Single,4485,Y,No,10,2,8,0,7,7
31,Travel_Frequently,Sales,5,3,Marketing,Female,1,Sales Representative,Divorced,2789,Y,No,2,5,2,2,2,2
26,Travel_Rarely,Sales,4,4,Marketing,Male,2,Sales Executive,Single,5828,Y,Yes,8,0,8,7,7,4
37,Travel_Frequently,Research & Development,9,3,Medical,Male,1,Research Scientist,Married,2326,Y,Yes,4,3,4,2,1,2
42,Travel_Frequently,Sales,26,3,Marketing,Female,4,Sales Executive,Married,13525,Y,No,23,2,20,4,4,8
18,Travel_Rarely,Research & Development,3,3,Life Sciences,Male,1,Laboratory Technician,Single,1420,Y,No,0,2,0,0,0,0
35,Travel_Rarely,Sales,16,3,Marketing,Male,3,Sales Executive,Married,8020,Y,No,12,3,11,9,6,9
36,Travel_Frequently,Research & Development,18,4,Life Sciences,Male,1,Laboratory Technician,Married,3688,Y,No,4,2,1,0,0,0
51,Travel_Rarely,Research & Development,2,3,Medical,Male,2,Manufacturing Director,Divorced,5482,Y,No,13,3,4,1,1,2
41,Travel_Rarely,Sales,2,4,Life Sciences,Male,4,Manager,Single,16015,Y,No,22,2,22,10,0,4
18,Travel_Rarely,Sales,10,3,Medical,Female,1,Sales Representative,Single,1200,Y,No,0,2,0,0,0,0
28,Travel_Rarely,Research & Development,16,2,Medical,Male,2,Healthcare Representative,Single,5661,Y,No,9,2,8,3,0,7
31,Travel_Rarely,Sales,7,3,Technical Degree,Male,2,Sales Executive,Married,6929,Y,No,10,3,8,7,7,7
39,Travel_Rarely,Research & Development,1,3,Medical,Male,3,Healthcare Representative,Divorced,9613,Y,No,19,5,18,10,3,7
36,Non-Travel,Research & Development,24,4,Life Sciences,Female,2,Laboratory Technician,Married,5674,Y,No,11,3,9,8,0,8
32,Travel_Rarely,Sales,7,3,Life Sciences,Male,2,Sales Executive,Married,5484,Y,No,13,3,13,8,4,8
38,Travel_Rarely,Research & Development,25,2,Life Sciences,Female,3,Research Director,Married,12061,Y,No,19,2,10,8,0,1
58,Non-Travel,Research & Development,1,4,Life Sciences,Male,2,Healthcare Representative,Divorced,5660,Y,Yes,12,2,5,3,1,2
31,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,1,Research Scientist,Married,4821,Y,Yes,6,4,5,2,0,3
31,Travel_Rarely,Human Resources,2,3,Human Resources,Male,2,Human Resources,Married,6410,Y,No,9,1,2,2,1,0
45,Travel_Frequently,Research & Development,7,3,Life Sciences,Male,3,Laboratory Technician,Divorced,5210,Y,No,24,2,24,9,9,11
31,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,1,Research Scientist,Divorced,2695,Y,Yes,3,2,2,2,2,2
33,Travel_Frequently,Research & Development,5,4,Life Sciences,Female,3,Manager,Married,11878,Y,No,12,2,10,6,8,8
39,Travel_Rarely,Research & Development,10,1,Medical,Male,4,Manager,Married,17068,Y,Yes,21,3,21,9,11,10
43,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,1,Laboratory Technician,Single,2455,Y,No,9,5,8,7,1,7
49,Travel_Rarely,Research & Development,1,2,Technical Degree,Female,4,Healthcare Representative,Single,13964,Y,Yes,25,2,7,1,0,7
52,Travel_Rarely,Research & Development,8,4,Medical,Male,2,Research Scientist,Married,4941,Y,No,11,3,8,2,7,7
27,Travel_Rarely,Research & Development,5,3,Life Sciences,Female,1,Research Scientist,Single,2478,Y,Yes,4,2,4,3,1,2
32,Travel_Rarely,Sales,8,2,Technical Degree,Female,2,Sales Executive,Married,5228,Y,Yes,13,2,13,12,11,9
27,Travel_Rarely,Sales,2,3,Life Sciences,Male,2,Sales Executive,Single,4478,Y,Yes,5,3,5,4,0,4
31,Travel_Rarely,Sales,7,3,Marketing,Male,2,Sales Executive,Divorced,7547,Y,No,13,3,7,7,1,7
32,Travel_Rarely,Research & Development,2,4,Medical,Female,2,Research Scientist,Single,5055,Y,No,10,0,7,7,0,7
28,Travel_Rarely,Research & Development,2,4,Medical,Male,1,Research Scientist,Married,3464,Y,Yes,5,4,3,2,2,2
30,Travel_Rarely,Research & Development,28,2,Medical,Female,2,Research Scientist,Married,5775,Y,No,11,2,10,8,1,9
31,Travel_Frequently,Research & Development,7,2,Life Sciences,Female,3,Manufacturing Director,Married,8943,Y,No,10,2,10,9,8,9
39,Travel_Frequently,Research & Development,7,2,Medical,Male,5,Manager,Married,19272,Y,No,21,2,21,9,13,3
39,Travel_Rarely,Sales,3,2,Medical,Female,2,Sales Executive,Married,5238,Y,Yes,12,3,1,0,0,0
33,Travel_Frequently,Sales,10,3,Marketing,Male,2,Sales Executive,Single,4682,Y,No,9,6,7,7,0,1
47,Travel_Rarely,Research & Development,5,5,Life Sciences,Male,5,Research Director,Married,18300,Y,No,21,2,3,2,1,1
43,Travel_Frequently,Research & Development,10,4,Life Sciences,Female,2,Laboratory Technician,Divorced,5257,Y,No,9,3,9,7,0,0
27,Non-Travel,Sales,1,1,Marketing,Male,2,Sales Executive,Married,6349,Y,Yes,6,0,5,4,1,4
54,Travel_Frequently,Research & Development,20,4,Life Sciences,Female,2,Research Scientist,Single,4869,Y,No,20,4,4,3,0,3
43,Travel_Rarely,Research & Development,7,3,Life Sciences,Female,3,Healthcare Representative,Married,9985,Y,No,10,1,1,0,0,0
45,Travel_Rarely,Research & Development,8,4,Other,Male,2,Research Scientist,Married,3697,Y,No,12,3,10,9,9,8
40,Travel_Rarely,Sales,1,2,Medical,Male,2,Sales Executive,Married,7457,Y,Yes,6,2,4,3,0,2
29,Travel_Rarely,Research & Development,8,4,Other,Male,1,Laboratory Technician,Married,2119,Y,Yes,7,4,7,7,0,7
29,Travel_Rarely,Research & Development,9,5,Other,Male,1,Laboratory Technician,Single,3983,Y,No,4,2,3,2,2,2
30,Travel_Rarely,Sales,5,3,Marketing,Female,2,Sales Executive,Divorced,6118,Y,No,10,2,10,9,1,2
27,Travel_Rarely,Sales,8,4,Marketing,Female,2,Sales Executive,Married,6214,Y,No,8,3,8,7,0,7
37,Travel_Rarely,Research & Development,5,2,Medical,Male,2,Manufacturing Director,Divorced,6347,Y,No,8,2,6,2,0,4
38,Travel_Rarely,Research & Development,15,2,Life Sciences,Male,3,Research Director,Divorced,11510,Y,Yes,12,3,11,10,2,9
31,Travel_Rarely,Research & Development,7,4,Medical,Female,3,Manufacturing Director,Single,7143,Y,Yes,11,2,11,9,4,10
29,Travel_Rarely,Sales,10,1,Marketing,Female,2,Sales Executive,Divorced,8268,Y,Yes,7,2,7,7,1,7
35,Travel_Rarely,Research & Development,5,4,Technical Degree,Male,3,Manufacturing Director,Single,8095,Y,No,17,5,16,6,0,13
23,Travel_Rarely,Research & Development,26,1,Life Sciences,Male,1,Research Scientist,Divorced,2904,Y,No,4,2,4,2,0,2
41,Travel_Rarely,Research & Development,6,3,Medical,Male,2,Manufacturing Director,Single,6032,Y,Yes,8,3,5,4,1,2
47,Travel_Frequently,Sales,4,1,Medical,Male,2,Sales Representative,Single,2976,Y,No,5,3,0,0,0,0
42,Travel_Rarely,Research & Development,23,5,Life Sciences,Female,4,Research Director,Single,15992,Y,No,16,2,1,0,0,0
29,Non-Travel,Sales,2,3,Life Sciences,Male,2,Sales Executive,Married,4649,Y,No,4,3,4,3,0,2
42,Travel_Rarely,Human Resources,2,1,Technical Degree,Male,1,Human Resources,Divorced,2696,Y,Yes,4,5,3,2,1,0
32,Travel_Rarely,Research & Development,2,3,Medical,Female,1,Laboratory Technician,Married,2370,Y,No,8,4,8,0,0,7
48,Travel_Rarely,Sales,29,1,Medical,Female,3,Manager,Married,12504,Y,No,15,3,0,0,0,0
37,Travel_Rarely,Research & Development,6,3,Medical,Male,2,Research Scientist,Divorced,5974,Y,Yes,13,2,7,7,6,7
30,Non-Travel,Sales,25,2,Technical Degree,Female,2,Sales Executive,Married,4736,Y,Yes,4,2,2,2,2,2
26,Travel_Rarely,Sales,1,3,Life Sciences,Male,2,Sales Executive,Married,5296,Y,No,8,3,8,7,7,7
42,Travel_Rarely,Research & Development,2,4,Other,Male,2,Healthcare Representative,Single,6781,Y,No,14,6,1,0,0,0
21,Travel_Frequently,Sales,1,1,Technical Degree,Female,1,Sales Representative,Single,2174,Y,Yes,3,3,3,2,1,2
36,Non-Travel,Sales,1,5,Medical,Female,2,Sales Executive,Single,6653,Y,No,7,6,1,0,0,0
36,Travel_Frequently,Sales,3,4,Medical,Male,3,Sales Executive,Married,9699,Y,No,16,2,13,9,1,12
57,Travel_Rarely,Research & Development,1,4,Medical,Male,2,Healthcare Representative,Married,6755,Y,No,15,2,3,2,1,2
40,Travel_Rarely,Research & Development,10,4,Life Sciences,Female,1,Laboratory Technician,Married,2213,Y,Yes,10,3,7,7,1,7
21,Non-Travel,Sales,9,2,Medical,Male,1,Sales Representative,Single,2610,Y,No,3,3,3,2,2,2
33,Travel_Rarely,Sales,5,3,Marketing,Female,1,Sales Representative,Single,2851,Y,Yes,1,2,1,0,0,0
37,Travel_Rarely,Research & Development,10,3,Medical,Female,1,Laboratory Technician,Married,3452,Y,No,17,3,5,4,0,3
46,Non-Travel,Research & Development,7,4,Medical,Female,2,Manufacturing Director,Married,5258,Y,No,7,2,1,0,0,0
41,Travel_Frequently,Sales,4,3,Marketing,Male,2,Sales Executive,Single,9355,Y,No,8,5,8,7,7,7
50,Travel_Rarely,Research & Development,10,3,Technical Degree,Male,3,Healthcare Representative,Single,10496,Y,No,20,2,4,3,1,3
40,Travel_Rarely,Sales,22,2,Marketing,Male,2,Sales Executive,Married,6380,Y,Yes,8,6,6,4,1,0
31,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,1,Research Scientist,Single,2657,Y,Yes,3,5,2,2,2,2
21,Travel_Rarely,Sales,12,3,Life Sciences,Female,1,Sales Representative,Single,2716,Y,No,1,0,1,0,0,0
29,Travel_Rarely,Research & Development,23,3,Life Sciences,Male,1,Research Scientist,Single,2201,Y,No,6,4,3,2,1,2
35,Travel_Rarely,Research & Development,9,4,Life Sciences,Male,2,Healthcare Representative,Single,6540,Y,No,10,5,1,1,0,0
27,Travel_Rarely,Research & Development,1,2,Medical,Male,1,Laboratory Technician,Divorced,3816,Y,No,5,2,5,2,0,4
28,Travel_Rarely,Sales,9,4,Life Sciences,Male,2,Sales Executive,Single,5253,Y,No,7,1,7,5,0,7
49,Travel_Rarely,Research & Development,7,3,Other,Male,3,Healthcare Representative,Single,10965,Y,No,26,2,5,2,0,0
51,Travel_Rarely,Sales,14,2,Life Sciences,Female,2,Sales Executive,Married,4936,Y,No,18,2,7,7,0,7
36,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,1,Research Scientist,Married,2543,Y,No,6,3,2,2,2,2
34,Non-Travel,Sales,19,3,Marketing,Male,2,Sales Executive,Single,5304,Y,Yes,9,3,5,2,0,4
55,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,4,Manager,Single,16659,Y,Yes,30,2,5,4,1,2
24,Travel_Rarely,Sales,10,4,Marketing,Female,2,Sales Executive,Divorced,4260,Y,Yes,5,2,5,2,0,3
30,Travel_Rarely,Sales,2,1,Technical Degree,Male,1,Sales Representative,Married,2476,Y,No,1,3,1,0,0,0
26,Travel_Frequently,Research & Development,3,1,Technical Degree,Male,1,Research Scientist,Single,3102,Y,No,7,2,6,4,0,4
22,Travel_Rarely,Research & Development,11,3,Medical,Female,1,Research Scientist,Married,2244,Y,No,2,1,2,1,1,2
36,Travel_Rarely,Sales,2,2,Medical,Male,3,Sales Executive,Married,7596,Y,No,10,2,10,9,9,0
30,Travel_Frequently,Research & Development,4,3,Technical Degree,Male,1,Research Scientist,Single,2285,Y,Yes,3,4,1,0,0,0
37,Travel_Rarely,Research & Development,14,3,Life Sciences,Female,1,Laboratory Technician,Divorced,3034,Y,No,18,2,18,7,12,17
40,Travel_Rarely,Sales,2,2,Marketing,Female,2,Sales Executive,Divorced,5715,Y,No,8,5,5,4,1,3
42,Travel_Rarely,Research & Development,1,4,Life Sciences,Female,1,Laboratory Technician,Divorced,2576,Y,No,8,5,5,2,1,2
37,Travel_Rarely,Research & Development,10,4,Life Sciences,Male,2,Manufacturing Director,Single,4197,Y,Yes,18,2,1,0,0,1
43,Travel_Rarely,Research & Development,12,3,Life Sciences,Male,4,Research Director,Divorced,14336,Y,No,25,3,25,10,3,9
40,Travel_Rarely,Research & Development,2,3,Medical,Female,2,Laboratory Technician,Married,3448,Y,No,20,3,1,0,0,0
54,Travel_Rarely,Research & Development,5,2,Medical,Male,5,Research Director,Married,19406,Y,No,24,4,4,2,1,2
34,Non-Travel,Sales,4,4,Marketing,Female,2,Sales Executive,Married,6538,Y,No,6,3,3,2,1,2
31,Travel_Rarely,Research & Development,7,2,Medical,Female,2,Manufacturing Director,Married,4306,Y,No,13,5,13,10,3,12
43,Travel_Frequently,Research & Development,21,3,Medical,Male,1,Laboratory Technician,Married,2258,Y,No,8,1,3,2,1,2
43,Travel_Rarely,Research & Development,8,4,Other,Female,2,Healthcare Representative,Divorced,4522,Y,Yes,8,3,5,2,0,2
25,Travel_Rarely,Sales,4,2,Life Sciences,Female,2,Sales Executive,Single,4487,Y,Yes,5,3,5,4,1,3
37,Non-Travel,Research & Development,25,5,Medical,Female,2,Research Scientist,Married,4449,Y,Yes,15,2,13,11,10,7
31,Travel_Rarely,Research & Development,1,2,Life Sciences,Male,1,Laboratory Technician,Married,2218,Y,No,4,3,4,2,3,2
39,Travel_Frequently,Research & Development,1,1,Life Sciences,Male,5,Manager,Divorced,19197,Y,Yes,21,3,21,8,1,6
56,Travel_Frequently,Sales,6,3,Life Sciences,Female,4,Sales Executive,Married,13212,Y,No,36,0,7,7,7,7
30,Travel_Rarely,Sales,12,3,Technical Degree,Female,2,Sales Executive,Single,6577,Y,No,6,6,5,4,4,4
41,Travel_Rarely,Sales,1,3,Marketing,Male,3,Sales Executive,Married,8392,Y,No,10,2,10,7,0,7
28,Travel_Rarely,Research & Development,17,2,Medical,Male,2,Laboratory Technician,Divorced,4558,Y,No,10,2,10,0,1,8
25,Travel_Rarely,Research & Development,3,3,Medical,Male,1,Laboratory Technician,Married,4031,Y,No,6,5,2,2,0,2
52,Travel_Rarely,Research & Development,3,3,Medical,Male,3,Manufacturing Director,Married,7969,Y,Yes,28,4,5,4,0,4
45,Travel_Rarely,Research & Development,10,2,Life Sciences,Male,1,Research Scientist,Married,2654,Y,No,8,3,2,2,0,2
52,Travel_Rarely,Research & Development,4,2,Life Sciences,Female,4,Manager,Married,16555,Y,No,31,2,5,2,1,4
42,Travel_Frequently,Research & Development,29,2,Life Sciences,Female,2,Research Scientist,Divorced,4556,Y,No,19,3,5,4,0,2
30,Travel_Rarely,Research & Development,2,3,Life Sciences,Female,2,Manufacturing Director,Single,6091,Y,No,11,2,5,4,0,2
60,Travel_Rarely,Research & Development,7,3,Life Sciences,Female,5,Manager,Married,19566,Y,No,33,5,29,8,11,10
46,Travel_Rarely,Research & Development,18,3,Medical,Female,2,Manufacturing Director,Divorced,4810,Y,No,19,5,10,7,0,8
42,Travel_Frequently,Research & Development,28,4,Technical Degree,Female,2,Healthcare Representative,Married,4523,Y,No,7,4,6,5,0,4
24,Travel_Rarely,Sales,1,1,Technical Degree,Female,1,Sales Representative,Single,3202,Y,Yes,6,4,5,3,1,4
34,Travel_Frequently,Sales,6,2,Marketing,Female,1,Sales Representative,Divorced,2351,Y,No,3,3,2,2,1,0
38,Travel_Frequently,Research & Development,2,2,Life Sciences,Male,1,Laboratory Technician,Married,1702,Y,Yes,1,3,1,0,0,0
40,Travel_Rarely,Sales,2,4,Life Sciences,Female,5,Manager,Married,18041,Y,No,21,2,20,15,1,12
26,Travel_Rarely,Research & Development,23,3,Life Sciences,Female,1,Research Scientist,Divorced,2886,Y,No,3,3,3,2,0,2
30,Non-Travel,Research & Development,3,3,Life Sciences,Male,1,Laboratory Technician,Married,2097,Y,No,9,3,5,3,1,4
29,Travel_Rarely,Research & Development,3,4,Medical,Male,3,Research Director,Married,11935,Y,No,10,2,10,2,0,7
29,Travel_Rarely,Research & Development,25,5,Technical Degree,Female,1,Research Scientist,Married,2546,Y,No,6,2,2,2,1,1
19,Travel_Rarely,Human Resources,2,2,Technical Degree,Male,1,Human Resources,Single,2564,Y,No,1,3,1,0,0,0
30,Non-Travel,Sales,22,4,Other,Female,3,Sales Executive,Married,8412,Y,No,10,3,9,8,7,8
57,Travel_Rarely,Sales,29,3,Marketing,Male,4,Manager,Divorced,14118,Y,No,32,3,1,0,0,0
50,Travel_Rarely,Research & Development,29,4,Life Sciences,Male,4,Manager,Married,17046,Y,No,28,2,27,10,15,7
30,Non-Travel,Research & Development,2,3,Medical,Female,1,Laboratory Technician,Single,2564,Y,No,12,2,11,7,6,7
60,Travel_Frequently,Sales,28,3,Marketing,Female,3,Sales Executive,Married,10266,Y,No,22,5,18,13,13,11
47,Travel_Rarely,Research & Development,2,2,Medical,Female,2,Manufacturing Director,Divorced,5070,Y,No,20,2,5,0,0,4
46,Travel_Rarely,Research & Development,2,3,Life Sciences,Male,4,Research Director,Married,17861,Y,No,26,2,3,2,0,1
35,Travel_Rarely,Research & Development,22,3,Life Sciences,Male,1,Laboratory Technician,Single,4230,Y,No,6,2,5,4,4,3
54,Travel_Rarely,Research & Development,8,4,Life Sciences,Female,2,Laboratory Technician,Single,3780,Y,No,19,3,1,0,0,0
34,Travel_Rarely,Research & Development,2,4,Life Sciences,Male,1,Research Scientist,Divorced,2768,Y,No,14,3,7,3,5,7
46,Travel_Rarely,Sales,10,3,Marketing,Female,3,Sales Executive,Married,9071,Y,Yes,15,3,3,2,1,2
31,Travel_Rarely,Research & Development,9,1,Life Sciences,Male,3,Manufacturing Director,Divorced,10648,Y,No,13,6,13,8,0,8
33,Travel_Rarely,Research & Development,15,1,Medical,Male,3,Manager,Married,13610,Y,Yes,15,2,7,6,7,7
33,Travel_Rarely,Research & Development,10,1,Medical,Male,1,Laboratory Technician,Divorced,3408,Y,No,8,2,4,3,1,3
30,Travel_Rarely,Sales,7,1,Marketing,Male,1,Sales Representative,Single,2983,Y,No,4,3,3,2,1,2
35,Travel_Rarely,Research & Development,16,3,Life Sciences,Male,3,Healthcare Representative,Married,7632,Y,Yes,10,2,8,7,0,0
31,Travel_Frequently,Research & Development,20,3,Life Sciences,Male,3,Healthcare Representative,Married,9824,Y,No,12,2,1,0,0,0
34,Travel_Frequently,Human Resources,23,3,Human Resources,Female,3,Human Resources,Divorced,9950,Y,Yes,11,2,3,2,0,2
42,Travel_Frequently,Research & Development,5,2,Other,Male,1,Laboratory Technician,Married,2093,Y,No,8,4,2,2,2,0
36,Non-Travel,Sales,10,4,Medical,Male,3,Sales Executive,Single,9980,Y,No,10,3,10,3,9,7
