id,store_name,store_email,department,income,date_measured,country
304,"HFF, Inc.",cmckeney8f@eventbrite.com,Games,$33164032.35,5 May 1994,united states
305,"Jounce Therapeutics, Inc.",,Tools,$75432344.88,26 September 1995,united kingdom
306,Bank of America Corporation,qfotherby8h@whitehouse.gov,Movies,$63909544.62,15 August 2002,United Kingdom/
307,Unico American Corporation,,,$53265907.45,2 May 1994,United States of America/
308,First Internet Bancorp,ckaret8j@etsy.com,Health,$62626848.64,9 May 2003,United Kingdom
309,Mobile TeleSystems OJSC,,Outdoors,$55107648.52,13 June 1996,South Africa.
310,"Spirit Realty Capital, Inc.",bfulham8l@census.gov,Movies,$83383020.78,2 June 1988,United Kingdom.
311,3D Systems Corporation,,Jewelry,$57428327.05,7 February 1995,UNITED KINGDOM
312,Tennessee Valley Authority,,Shoes,$51518536.03,16 January 1997, South Africa
313,Microchip Technology Incorporated,,Shoes,$58605715.07,20 October 2001,United States of America
314,Semtech Corporation,,Health,$53853258.11,9 December 2010,UNITED STATES
315,"Aemetis, Inc",,Outdoors,$43377228.43,15 February 2001,UNITED KINGDOM
316,"Lexicon Pharmaceuticals, Inc.",,,$52352073.31,24 July 2005,United States of America.
317,Brixmor Property Group Inc.,,Computers,$45168953.12,8 June 2007,United Kingdom/
318,Gladstone Commercial Corporation,wrogers8t@unesco.org,Automotive,$77747734.05,10 March 1988,UK/
319,Belmond Ltd.,,Home,$20867127.12,19 August 1999,United States
320,"EastGroup Properties, Inc.",hiannazzi8v@ask.com,Home,$44636687.53,6 May 2008,UNITED STATES
321,Dynatronics Corporation,pbarthot8w@nature.com,Home,$34463473.90,17 October 1991,UK/
322,"Eleven Biotherapeutics, Inc.",jrambadt8x@ebay.co.uk,Electronics,$43943571.43,25 August 2004, South Africa
323,"Virtu Financial, Inc.",bkennion8y@timesonline.co.uk,Home,$24827655.34,9 March 2005, UK
324,Cabot Microelectronics Corporation,,Games,$4881195.82,7 September 1988,united states of america
325,Gladstone Investment Corporation,,Shoes,$19933912.46,15 December 2011,united states of america
326,Internap Corporation,,Music,$5784490.01,18 January 2000,United States.
327,"THL Credit, Inc.",ependergrast92@newyorker.com,Toys,$36378835.83,21 August 1998,UK/
328,Ramco-Gershenson Properties Trust,ekewzick93@imdb.com,Health,$74813585.49,25 July 1993,South Africa/
329,"CoStar Group, Inc.",,Electronics,$6800811.25,10 June 1992,UK.
330,Oxford Immunotec Global PLC,glamond95@themeforest.net,Computers,$55792920.28,23 May 2008,United Kingdom
331,Euroseas Ltd.,kbirdis96@goo.gl,Games,$94297519.86,24 February 2004,United States of America/
332,Anchor Bancorp,,Kids,$42191630.16,14 January 1995,South Africa/
333,Cathay General Bancorp,,Movies,$2860608.38,14 January 2009,United States of America.
334,Gladstone Commercial Corporation,,Games,$36801484.55,8 July 1996,uk
335,"Archrock Partners, L.P.",rpaolone9a@bbb.org,Garden,$69153558.01,20 April 1989,United States of America 
336,"NantKwest, Inc.",,Shoes,$72474431.32,6 July 2004,South Africa 
337,WisdomTree Emerging Markets Corporate Bond Fund,,Music,$51335581.09,20 October 2002,UNITED STATES OF AMERICA
338,Assured Guaranty Ltd.,jmaccrie9d@hubpages.com,Outdoors,$48254103.47,24 July 1994,United States of America/
339,Quest Resource Holding Corporation.,mweatherill9e@fotki.com,Computers,$80517867.67,9 January 2011,UK/
340,"BankUnited, Inc.",mbamlett9f@jalbum.net,Games,$76352778.44,19 October 2006, South Africa
341,Franco-Nevada Corporation,,Movies,$53620653.62,1 December 2003,United States of America 
342,Fang Holdings Limited,ldesorts9h@theatlantic.com,Industrial,$95632107.33,1 December 2003,South Africa/
343,Urstadt Biddle Properties Inc.,,Computers,$67307275.59,4 March 1986,united states of america
344,Validea Market Legends ETF,,Industrial,$41200857.86,14 November 2002,United Kingdom/
345,"KMG Chemicals, Inc.",,Music,$47767315.32,26 June 1995,United States
346,"America Movil, S.A.B. de C.V.",kberi9l@howstuffworks.com,Baby,$55459846.70,19 May 1979, United States of America
347,"Bridgepoint Education, Inc.",,Baby,$84766272.58,20 June 1996,UK
348,iStar Financial Inc.,,Toys,$47420832.54,3 September 1996,UK/
349,Bristol-Myers Squibb Company,lphilipsen9o@addthis.com,,$43693391.96,26 June 2011,SOUTH AFRICA
350,Abbott Laboratories,,Games,$8582829.93,23 December 2002,United States
351,PowerShares DWA Consumer Cyclicals Momentum Portfolio,lhanselmann9q@archive.org,Books,$99724824.84,27 February 2001,UK/
352,"Morgan Stanley Emerging Markets Debt Fund, Inc.",,Baby,$10711895.07,20 February 1999,United States 
353,Center Coast MLP & Infrastructure Fund,,Grocery,$67202226.04,27 May 1997,SOUTH AFRICA
354,"CoreLogic, Inc.",ssollam9t@spotify.com,,$27268360.76,24 January 2009,United States of America
355,"Determine, Inc. ",,Shoes,$94498247.28,11 February 2003,united states
356,Morgan Stanley,,Outdoors,$76549550.49,15 February 1987,SOUTH AFRICA
357,Peabody Energy Corporation,,Shoes,$90567885.67,2 January 1993,South Africa
358,Walt Disney Company (The),djacombs9x@bluehost.com,Garden,$2743540.48,1 September 1999, United States of America
359,"Ares Dynamic Credit Allocation Fund, Inc.",,Music,$6977538.73,8 February 2012,UK/
360,Innospec Inc.,,Kids,$67586090.47,4 January 2010,United States.
361,"PS Business Parks, Inc.",,Beauty,$39772292.74,10 April 2008,South Africa
362,"Sonic Foundry, Inc.",ydurbera1@posterous.com,Automotive,$54563064.26,17 June 1988,UK
363,"Sabra Healthcare REIT, Inc.",,Music,$432300.67,27 November 2006,United Kingdom/
364,Arch Capital Group Ltd.,,Games,$91869140.82,15 April 1993,United States of America 
365,STRATS Trust,dgartona4@storify.com,Games,$39538825.39,21 May 1987,United Kingdom 
366,"Teladoc, Inc.",,Baby,$47441517.50,5 December 2005,UK.
367,Hanmi Financial Corporation,,Garden,$83852091.39,3 January 1994,South Africa
368,"Under Armour, Inc.",,Home,$67950481.35,18 December 2010,United States
369,FlexShares US Quality Large Cap Index Fund,,Clothing,$87484694.40,24 October 1993,South Africa
370,Navient Corporation,wgrimmera9@home.pl,Automotive,$20007131.08,4 April 2011,United Kingdom
371,CyberArk Software Ltd.,amawtusaa@nature.com,Movies,$63948129.39,1 March 2006,United Kingdom/
372,"Badger Meter, Inc.",,Industrial,$62502777.69,10 July 2001,United Kingdom 
373,Citigroup Inc.,,Baby,$46334843.90,20 April 2008,United States/
374,"Versartis, Inc.",,Health,$48754395.04,4 May 1986, United States
375,Invitae Corporation,,Health,$2385987.81,13 October 2013,United Kingdom.
376,Thomson Reuters Corp,smadreaf@jigsy.com,Shoes,$51547468.95,3 September 2008,united states
377,BlackRock Credit Allocation Income Trust,,Electronics,$19430942.93,20 September 1986,United Kingdom/
378,ENGlobal Corporation,,Jewelry,$39426002.39,15 April 2004,UNITED STATES
379,Prudential Public Limited Company,sfaggai@un.org,Health,$8899682.01,27 July 2009,South Africa
380,"Stag Industrial, Inc.",,Automotive,$96231012.11,22 June 2012,United States/
381,Omega Protein Corporation,,Music,$1254974.99,20 January 2002,United States.
382,"Yatra Online, Inc.",,Music,$53337613.23,15 August 2005,SOUTH AFRICA
383,Newfield Exploration Company,lcrispinam@ft.com,Electronics,$60988323.08,17 January 2003,United Kingdom
384,"Dime Community Bancshares, Inc.",,Tools,$34550715.23,24 January 2002,UNITED STATES
385,"The Habit Restaurants, Inc.",,Outdoors,$67090265.09,4 February 2011,SOUTH AFRICA
386,iStar Financial Inc.,,Tools,$90913925.87,7 September 2007, United States of America
387,Westport Fuel Systems Inc,sbaileaq@dmoz.org,Movies,$24506673.97,3 March 2009,south africa
388,Capital One Financial Corporation,,Music,$96324950.45,17 October 2008,United States
389,"Alliance One International, Inc.",lavonas@elpais.com,Computers,$67605258.34,8 June 2007,united kingdom
390,Nuveen AMT-Free Municipal Value Fund,,Clothing,$13651757.37,21 December 2005, United Kingdom
391,"Intercept Pharmaceuticals, Inc.",cpaulinau@ihg.com,Grocery,$63929559.51,4 February 1996,United Kingdom
392,Akari Therapeutics Plc,,Outdoors,$56914044.09,20 March 1997,United States.
393,500.com Limited,,Shoes,$29681328.65,6 February 2009,UNITED STATES OF AMERICA
394,"VeriSign, Inc.",,Shoes,$26493800.30,12 June 2001,South Africa.
395,Silver Run Acquisition Corporation II,,Computers,$58529265.04,12 January 1996, United States of America
396,"CEVA, Inc.",crackhamaz@uol.com.br,Outdoors,$73581982.02,24 April 1998,United Kingdom.
397,Colgate-Palmolive Company,,Electronics,$56683211.07,24 March 2009,united kingdom
398,"DXP Enterprises, Inc.",,Garden,$90905400.51,16 November 2012, South Africa
399,"Gilead Sciences, Inc.",cconstantb2@cdbaby.com,Beauty,$85257269.02,10 May 2011,UNITED KINGDOM
400,"Freeport-McMoran, Inc.",eproomb3@google.ru,Kids,$990770.32,27 November 1979,South Africa
401,"ABAXIS, Inc.",bniceb4@wikimedia.org,Health,$89050088.78,20 March 2003,United Kingdom/
402,Hess Corporation,,Electronics,$97791907.02,8 September 2011,United States
403,"Sigma Labs, Inc.",,Garden,$81931559.97,22 July 1993,UNITED STATES OF AMERICA
404,Blackrock Muni New York Intermediate Duration Fund Inc,,Games,$83584004.94,8 September 2010,UK.
405,BB&T Corporation,,Baby,$42144698.02,19 December 2010, UK
406,"Hartford Financial Services Group, Inc. (The)",mpriggb9@theatlantic.com,Garden,$37333038.58,24 September 2002,UK/
407,Novanta Inc.,flabernba@sina.com.cn,Kids,$27104361.17,17 August 1999,UNITED STATES OF AMERICA
408,"GTT Communications, Inc.",,Movies,$82216383.24,18 August 2009,United Kingdom 
409,"Identiv, Inc.",jstairsbc@jalbum.net,Grocery,$84127848.79,16 December 2007,United Kingdom 
410,First Trust Nasdaq Bank ETF,,Industrial,$59140844.44,14 May 1992,UNITED STATES
411,"Sun Communities, Inc.",,Clothing,$76243188.51,2 October 1998,united kingdom
412,"Autoliv, Inc.",jjanikowskibf@upenn.edu,Games,$82614516.67,16 April 1997,United States of America/
413,Peregrine Pharmaceuticals Inc.,,Electronics,$85606001.41,23 November 2012,South Africa
414,Gazit-Globe Ltd.,pchampneybh@examiner.com,Beauty,$39350686.88,8 February 2010, South Africa
415,Crawford & Company,tcassiebi@gov.uk,,$17634383.17,2 December 1955,United Kingdom/
416,First Trust RiverFront Dynamic Asia Pacific ETF,,Electronics,$81540278.86,9 December 2000,uk
417,Petroquest Energy Inc,krenisonbk@google.it,Automotive,$22376665.50,7 May 2004,SOUTH AFRICA
418,Visteon Corporation,,Toys,$72521232.31,8 January 1998, UK
419,Severn Bancorp Inc,senderlebm@stanford.edu,Baby,$63712482.78,3 January 2010,United States.
420,Ryerson Holding Corporation,,Industrial,$86246464.11,15 March 2004,United States/
421,"Citizens Community Bancorp, Inc.",bmelodybo@mtv.com,Books,$81928069.85,23 February 1988,United States of America.
422,Nuveen Credit Opportunities 2022 Target Term Fund,,Electronics,$35573309.87,25 June 2005,United States/
423,SodaStream International Ltd.,,Kids,$92344214.07,7 February 2011,SOUTH AFRICA
424,Arrow DWA Tactical ETF,ddewburybr@springer.com,Movies,$55999156.12,25 August 2010,United States of America
425,"Oncobiologics, Inc.",flamplughbs@seattletimes.com,Movies,$63617297.65,21 August 1986,United States of America.
426,Central European Media Enterprises Ltd.,,Games,$72480258.52,15 April 2006, UK
427,"Teradyne, Inc.",svinterbu@etsy.com,Outdoors,$36033927.24,4 September 1985,united states of america
428,CafePress Inc.,cmitkovbv@cmu.edu,Grocery,$39817211.48,25 April 2004,SOUTH AFRICA
429,"J. Jill, Inc.",ccleavesbw@skyrock.com,Garden,$15667776.83,20 April 2012,South Africa 
430,Matlin & Partners Acquisition Corporation,dwaddellbx@oaic.gov.au,Home,$92281411.45,8 November 1994,UK
431,STRATS Trust,bhansfordby@npr.org,Home,$70733735.23,15 July 1991, UK
432,"Leidos Holdings, Inc.",,Music,$80610031.56,21 July 2007,South Africa
433,First Trust Emerging Markets Local Currency Bond ETF,,Music,$41617429.15,22 June 2003,United States/
434,Cytori Therapeutics Inc,,Home,$81765101.86,24 July 1994,United States of America
435,"Inovalon Holdings, Inc.",djoec2@patch.com,Music,$58626972.96,10 August 2012,South Africa
436,Loncar Cancer Immunotherapy ETF,rguerrac3@paypal.com,Health,$73288225.94,16 February 2006,south africa
437,Ivy High Income Opportunities Fund,abeateyc4@google.co.uk,Baby,$24602681.13,5 December 2002,SOUTH AFRICA
438,"Flexion Therapeutics, Inc.",,Clothing,$85929355.01,12 August 1993,UK
439,"Dycom Industries, Inc.",lalanc6@youtube.com,Toys,$22680767.78,19 March 1997,SOUTH AFRICA
440,"Manhattan Bridge Capital, Inc",gantonichc7@github.com,Tools,$73914356.13,1 April 2008,United Kingdom.
441,Black Hills Corporation,,Clothing,$86628547.85,5 September 2008,United Kingdom
442,Tractor Supply Company,conionsc9@newsvine.com,Garden,$4932150.74,9 August 1992,United Kingdom.
443,Zynga Inc.,jesherwoodca@reference.com,Home,$68278866.04,10 September 2009,UK.
444,"BofI Holding, Inc.",,Electronics,$24821516.95,3 August 1993,UK.
445,"Ballard Power Systems, Inc.",,Games,$42150233.56,10 October 2013,UNITED STATES
446,Severn Bancorp Inc,lbuckleycd@github.com,Outdoors,$26415974.61,23 April 1997,uk
447,"Entergy Arkansas, Inc.",abarkece@nih.gov,Baby,$49841739.91,27 March 2012,UK
448,"DSP Group, Inc.",ztrethowancf@blinklist.com,Games,$35803334.12,10 September 2009,UK
449,"Ardelyx, Inc.",ksterleycg@so-net.ne.jp,Kids,$28583474.36,19 February 2001,UK
450,Autohome Inc.,eoxborrowch@google.it,Movies,$9260392.95,1 August 1998,UK 
451,Helen of Troy Limited,swhitelockci@t-online.de,Sports,$51201193.50,9 August 1994,United States of America
452,iPath US Treasury 2-year Bear ETN,sschoenfischcj@ifeng.com,Electronics,$46454837.66,14 February 2009,UK
453,Seadrill Limited,rsaccock@indiegogo.com,Jewelry,$99684443.71,7 August 2009,united kingdom
454,The9 Limited,,Garden,$82532957.06,25 January 2007,United States of America
455,"Union Bankshares, Inc.",wmeiklejohncm@purevolume.com,Music,$1687659.65,9 March 2011,United States of America 
456,"Sandy Spring Bancorp, Inc.",,Home,$31560745.61,1 June 1984,United States of America.
457,Polaris Industries Inc.,mrickasseco@opensource.org,Music,$70267468.55,23 November 2001, United States
458,EnteroMedics Inc.,,Shoes,$30381657.10,25 January 1993,United States of America/
459,Regency Centers Corporation,,Clothing,$36821779.84,15 December 2003,United States/
460,Voya Emerging Markets High Income Dividend Equity Fund,clunacr@uol.com.br,Health,$84444767.63,6 March 1993,United States
461,"Meritor, Inc.",,,$66660288.69,4 May 1986,UNITED KINGDOM
462,Vanguard Short-Term Corporate Bond ETF,wridolfoct@multiply.com,Outdoors,$63246837.45,20 March 2007,South Africa 
463,Cousins Properties Incorporated,,Movies,$78845980.06,14 September 2009,UK/
464,"Aeglea BioTherapeutics, Inc.",,Games,$44955720.21,23 April 2005,United Kingdom
465,"SMART Global Holdings, Inc.",,Grocery,$55795892.46,21 March 1990,UK 
466,Duff & Phelps Select Energy MLP Fund Inc.,,Automotive,$49993456.97,23 August 2007,united states of america
467,"Fogo de Chao, Inc.",,Beauty,$11680728.11,5 April 1986, United States of America
468,Greif Bros. Corporation,,Electronics,$52987233.50,15 March 2003, United Kingdom
469,"Duff & Phelps Utilities Income, Inc.",ppenvarned0@arizona.edu,Movies,$31111822.54,13 November 2008,United Kingdom.
470,"CGI Group, Inc.",,Tools,$25161615.95,10 March 1994,united states of america
471,Valley National Bancorp,epottelld2@psu.edu,Health,$94499303.10,14 November 1992,UK
472,"Rexford Industrial Realty, Inc.",,Grocery,$71765202.63,23 November 2003,South Africa/
473,DRDGOLD Limited,dcunninghamd4@icq.com,Grocery,$90094318.13,15 January 2010,UK
474,"Continental Resources, Inc.",,Toys,$22584604.03,3 January 2010,United Kingdom.
475,Pointer Telocation Ltd.,,Kids,$31485544.02,14 October 1996,United Kingdom/
476,Atento S.A.,,Outdoors,$14339952.15,21 November 1993,United States
477,National General Holdings Corp,,Shoes,$25432217.48,2 June 2002, UK
478,"Franklin Resources, Inc.",,Health,$72547397.77,12 November 2006,united kingdom
479,"Penumbra, Inc.",,Shoes,$95564502.11,12 January 2012,South Africa/
480,Elkhorn Commodity Rotation Strategy ETF,,Tools,$8066234.49,8 May 1992,UNITED STATES
481,"Luxoft Holding, Inc.",tdecroixdc@whitehouse.gov,Books,$43895941.02,12 February 2004,UK 
482,Monster Beverage Corporation,,Toys,$91086841.21,10 July 1993,United States of America.
483,"Civista Bancshares, Inc. ",jmandrierde@dailymotion.com,Toys,$21823198.87,13 June 2001,South Africa
484,Nuveen Credit Opportunities 2022 Target Term Fund,zmauserdf@istockphoto.com,Toys,$90969435.66,1 November 1961,UK 
485,RH,ggiuriodg@oaic.gov.au,Industrial,$78273152.34,1 February 1994,UNITED STATES OF AMERICA
486,Terreno Realty Corporation,,Movies,$818576.98,16 April 1987, United Kingdom
487,"Hartford Financial Services Group, Inc. (The)",gmaddrelldi@amazon.co.jp,,$46899085.23,1 December 1999,UNITED STATES
488,"SGOCO Group, Ltd",,Grocery,$33104749.15,16 March 1997,united states
489,Hallador Energy Company,paronstamdk@cbc.ca,Games,$57519417.04,5 April 2012,United States of America
490,"Mota Group, Inc.",,Automotive,$27520478.04,14 January 2006, South Africa
491,Sunrun Inc.,,Clothing,$8437652.21,20 May 2006,South Africa 
492,Abeona Therapeutics Inc.,,Shoes,$73949253.64,24 December 2012,United States
493,Medovex Corp.,,Electronics,$60505250.98,23 November 2007,United States of America
494,"Points International, Ltd.",jadnetdp@bizjournals.com,Health,$88990837.32,1 June 2011,UK 
495,"Bellicum Pharmaceuticals, Inc.",,Home,$60609967.62,23 April 1992,united states
496,"NantKwest, Inc.",,Shoes,$65053580.42,21 October 2001,United States of America.
497,Comp En De Mn Cemig ADS,cmckinlessds@posterous.com,Beauty,$56126615.67,23 May 1994,UK/
498,"Aware, Inc.",,Industrial,$3265105.35,18 July 1989,UK/
499,iShares Morningstar Mid-Cap ETF,,Computers,$58852571.71,10 January 2009,UK
500,"Sequential Brands Group, Inc.",,Books,$45076926.88,27 November 2009,South Africa 
501,"Retrophin, Inc.",dricharsondw@shareasale.com,Books,$62242104.36,3 November 2005,United States/
502,"SunOpta, Inc.",kinchbalddx@friendfeed.com,Baby,$1248670.38,4 June 2013, United States of America
503,Ion Geophysical Corporation,sjanneydy@sitemeter.com,Books,$6978303.54,27 May 1996,United States of America
504,B Communications Ltd.,gpashleydz@odnoklassniki.ru,Garden,$2188777.78,6 January 1985,South Africa
505,Costamare Inc.,,Health,$87084707.70,25 January 2012, South Africa
506,"HMN Financial, Inc.",facklande1@w3.org,Jewelry,$63460851.80,8 March 2011,South Africa/
507,"Spirit Aerosystems Holdings, Inc.",hamblere2@google.it,Toys,$16052906.94,8 February 2009, United States
508,"Advanced Drainage Systems, Inc.",cpolkinhorne3@tripod.com,Books,$84397976.14,12 October 1999,United States of America.
509,"Energizer Holdings, Inc.",,Books,$86943014.30,6 April 1999,south africa
510,Univar Inc.,,Movies,$87444364.18,10 November 1995,UNITED STATES
511,"FleetCor Technologies, Inc.",,Baby,$46086095.35,6 February 1999,United States of America 
512,China Distance Education Holdings Limited,,Health,$42312729.49,15 April 1986,UNITED STATES OF AMERICA
513,Alliance World Dollar Government Fund II,,Computers,$49156402.87,8 December 2010,UK.
514,Flaherty & Crumrine Preferred Income Opportunity Fund Inc,svonoertzene9@illinois.edu,Home,$14658818.55,25 August 1995,UNITED STATES
515,"Aware, Inc.",mheinleinea@usnews.com,Music,$96453644.49,7 December 2002,SOUTH AFRICA
516,"FBL Financial Group, Inc.",,Movies,$55128045.62,14 January 1992,SOUTH AFRICA
517,Northwest Natural Gas Company,,Clothing,$23085865.87,3 April 2009,United Kingdom 
518,"MFA Financial, Inc.",,Sports,$98088260.11,18 September 2000,United States of America 
519,"J. W. Mays, Inc.",vhurworthee@ocn.ne.jp,Kids,$93482777.26,11 November 2011,UK.
520,"Mota Group, Inc.",,Games,$37809654.82,2 February 2002,United States 
521,First Trust Enhanced Short Maturity ETF,crobbeneg@deviantart.com,Sports,$38719213.88,4 June 2003,UK
522,BRF S.A.,,Music,$47250413.30,7 October 2005,South Africa.
523,Navios Maritime Midstream Partners LP,emulvaghei@weather.com,Garden,$9323069.30,22 June 1992,South Africa 
524,Northwest Pipe Company,lcastelijnej@noaa.gov,Electronics,$41479197.24,1 March 2010,UK/
525,"Agios Pharmaceuticals, Inc.",,Computers,$55072469.93,17 March 2005,United States of America 
526,Aetna Inc.,,Garden,$73267363.93,17 February 2008,United States
527,"One Liberty Properties, Inc.",,Books,$94485932.05,12 June 2006,UK
528,"Avangrid, Inc.",,Baby,$41396357.38,22 May 1986,South Africa.
529,Zions Bancorporation,,Grocery,$71060008.83,7 January 1998,UK
530,"Plantronics, Inc.",nbembrickep@angelfire.com,Clothing,$16202928.67,5 February 1990,South Africa.
531,"Bassett Furniture Industries, Incorporated",,Games,$32516901.46,9 September 2000, United States
532,John Hancock Investors Trust,,Beauty,$30499525.33,27 April 2009, United Kingdom
533,Alphabet Inc.,kflecknelles@yandex.ru,Outdoors,$58694511.51,1 January 2006,United States of America/
534,Yangtze River Development Limited,lmargramet@wikispaces.com,Electronics,$49155108.68,16 September 1993,United States of America.
535,Abeona Therapeutics Inc.,nmordineu@bigcartel.com,Baby,$9541913.26,15 March 1992, United Kingdom
536,"Web.com Group, Inc.",,Computers,$98721845.06,14 April 2003,United States of America
537,MSA Safety Incorporporated,zfollanew@wired.com,,$68120165.99,1 January 1995,United States 
538,Leaf Group Ltd.,,Beauty,$28045318.14,11 August 1997,South Africa 
539,First Trust SSI Strategic Convertible Securities ETF,,Home,$94838333.87,7 December 2007,UNITED STATES
540,"Diversified Restaurant Holdings, Inc.",,Games,$45352963.12,16 December 2005,UNITED STATES OF AMERICA
541,"China Biologic Products, Inc.",aenochssonf0@usnews.com,,$5486512.74,17 June 1985,UNITED STATES
542,"Penumbra, Inc.",,Games,$42803202.25,13 October 2004,South Africa/
543,Brookfield DTLA Inc.,,Health,$45464145.37,1 May 2002,UK
544,Mercury Systems Inc,,Shoes,$45713786.18,14 August 2007,United States of America
545,Vanguard Short-Term Inflation-Protected Securities Index Fund,,Industrial,$86329237.68,17 October 1992,south africa
546,Morgan Stanley,agarrf5@usnews.com,Health,$19821689.09,21 July 2008,UK.
547,"Timberland Bancorp, Inc.",gguestf6@wikimedia.org,Home,$4128451.79,20 November 2000,United States
548,Forum Merger Corporation,,Health,$6738658.77,17 June 2008, United States
549,Internet Gold Golden Lines Ltd.,acushf8@blogger.com,Games,$26787447.78,16 November 2002,united states
550,B.O.S. Better Online Solutions,,Clothing,$3324226.64,18 June 2008,United States of America/
551,"ClubCorp Holdings, Inc.",,Music,$61068304.95,2 September 1994,UK
552,Cabot Corporation,,Garden,$22969240.19,10 October 2008,united states of america
553,Procter & Gamble Company (The),,Jewelry,$94265739.38,9 November 2006,UNITED KINGDOM
554,"Poage Bankshares, Inc.",kfranekfd@ycombinator.com,Outdoors,$7978306.82,25 January 2002,South Africa.
555,"Ever-Glory International Group, Inc.",,Electronics,$53419275.17,25 July 1992,UNITED KINGDOM
556,"NextEra Energy, Inc.",,Industrial,$60398835.53,26 December 1990,UK
557,Terreno Realty Corporation,,Baby,$17061957.01,24 August 1986,United States.
558,"Core-Mark Holding Company, Inc.",disoldifh@imdb.com,Tools,$10616665.82,9 April 1993,South Africa/
559,"Hortonworks, Inc.",,Tools,$66767251.58,13 May 2011,United Kingdom 
560,"Caladrius Biosciences, Inc.",,Movies,$68859713.32,25 September 1993,United Kingdom/
561,NGL ENERGY PARTNERS LP,afossefk@goodreads.com,Shoes,$48335174.17,20 October 2003,South Africa 
562,The Spectranetics Corporation,,Baby,$51742731.00,4 May 2009,UNITED STATES OF AMERICA
563,"Mid-America Apartment Communities, Inc.",grainvillefm@dot.gov,,$54111634.40,7 October 2007,UK 
564,"Big Lots, Inc.",ldimanchefn@hugedomains.com,,$74759916.06,17 July 2003,south africa
565,Perrigo Company,cellicottfo@blogtalkradio.com,Grocery,$59613132.58,3 October 2003,south africa
566,Manulife Financial Corp,zpartonfp@is.gd,Toys,$95677722.19,8 February 2007,UNITED STATES
567,NQ Mobile Inc.,,Tools,$67018348.37,19 August 2003,United States of America
568,"Blackrock MuniYield California Insured Fund, Inc.",,,$1173601.40,18 January 2004, United States
569,"Invuity, Inc.",dscanefs@go.com,Industrial,$45212715.68,9 August 2007,UK
570,"ChemoCentryx, Inc.",,Beauty,$30468068.89,16 June 1997, UK
571,"Centennial Resource Development, Inc.",,Garden,$24004618.43,4 April 2005,South Africa 
572,"PayPal Holdings, Inc.",nruburyfv@networksolutions.com,Books,$97368462.31,10 September 1980,UK/
573,VCA Inc. ,frollofw@nyu.edu,Electronics,$95556635.70,14 June 2010,United States of America.
574,Viavi Solutions Inc.,,Tools,$67358721.47,13 February 1991,united kingdom
575,Kearny Financial,ckleinmintzfy@qq.com,Garden,$27601482.83,26 June 2005,UK/
576,Natl Westminster Pfd,,Computers,$1171441.63,8 June 2005,United Kingdom 
577,"Colony Bankcorp, Inc.",dchesherg0@google.co.uk,Games,$98538144.41,6 July 2004,United States of America 
578,"Green Brick Partners, Inc.",,Kids,$79533528.16,26 February 1984, United States
579,Ducommun Incorporated,,Computers,$49413368.58,14 June 1994,United States of America
580,AU Optronics Corp,,Kids,$73500349.22,18 December 2007,United States of America.
581,Newtek Business Services Corp.,,Grocery,$49011256.61,20 April 1996, United Kingdom
582,Banco Bradesco Sa,ccellig5@cafepress.com,Automotive,$18195567.09,14 February 2010,UNITED STATES OF AMERICA
583,"CBIZ, Inc.",,Movies,$57415915.53,19 July 2009,United Kingdom 
584,"CoreCivic, Inc.",hboddiceg7@shareasale.com,Shoes,$36840104.25,16 April 2009,South Africa.
585,"SolarEdge Technologies, Inc.",amcguffieg8@census.gov,Beauty,$11195059.91,19 July 2009,uk
586,Gladstone Commercial Corporation,cbernardellig9@123-reg.co.uk,Toys,$54309369.24,7 September 2002,United States of America
587,"Comfort Systems USA, Inc.",,Music,$1639844.32,25 July 2011,South Africa 
588,"Soleno Therapeutics, Inc.",,Beauty,$77341140.69,20 December 2004,united kingdom
589,Bank of the Ozarks,,Games,$20046414.42,13 September 2002,South Africa
590,"SilverSun Technologies, Inc.",,Shoes,$43490983.14,14 October 2012,UNITED STATES
591,Voya Asia Pacific High Dividend Equity Income Fund,,Baby,$61451107.00,7 September 1997,United States of America/
592,"Goldman Sachs Group, Inc. (The)",,Toys,$22960181.87,25 November 2004,United States 
593,"Aerohive Networks, Inc.",,Toys,$31534215.29,24 October 1993,SOUTH AFRICA
594,"Trupanion, Inc.",,Jewelry,$27033829.13,12 March 1998,United Kingdom.
595,"Texas Capital Bancshares, Inc.",,Industrial,$77265744.42,2 July 1995,United States.
596,"Caleres, Inc.",,Kids,$95826679.22,12 December 2002,South Africa
597,Jewett-Cameron Trading Company,bcahillanegk@berkeley.edu,Toys,$68369041.28,7 August 2008,South Africa/
598,MediWound Ltd.,,Computers,$92397143.06,20 January 2000,united kingdom
599,Adamis Pharmaceuticals Corporation,kaisbettgm@state.tx.us,Grocery,$5297486.30,16 December 2001, South Africa
600,RAIT Financial Trust,ddytegn@elegantthemes.com,Books,$51098612.08,8 May 1995,UK
601,"Pioneer Power Solutions, Inc.",cbillsberrygo@github.io,Computers,$9056715.24,4 August 2006,UK.
602,"The Meet Group, Inc.",fandrejevicgp@tmall.com,Books,$15357900.49,19 September 2000,SOUTH AFRICA
603,Cenveo Inc,,Health,$29172781.87,16 September 1990, South Africa
604,RAIT Financial Trust,,Grocery,$79969332.99,11 March 2009,UK/
605,Nuveen Credit Opportunities 2022 Target Term Fund,,Computers,$86575786.23,12 January 2005,United Kingdom
